序号,关卡ID,内容,选项,答案,类型
number,stageid,content,option,answer,type
int,int,string,string[],int[],int
1,1001,雇佣兵“米山”出自以下哪一款游戏？,暗黑破坏神|刺客信条|帝国时代|魔兽世界,1|0|0|0,0
2,1001,“太阁立志传5”中，文武全才指的是谁？,西园寺|织田信长|丰臣秀吉|宁宁,1|0|0|0,0
3,1001,“要致富，先撸树”出自以下哪款游戏？,我的世界|饥荒|魔兽争霸3|岛屿部落,1|0|0|0,0
4,1002,“来局昆特牌吧”这句话出自？,巫师|巫师之昆特牌|刺客信条|上古卷轴,1|0|0|0,0
5,1002,“直到我膝盖中了一箭”这句话出自？,上古卷轴|古墓丽影|生化危机|合金装备,1|0|0|0,0
6,1002,人们常说的“再来一回合”说的是哪个游戏？,文明|帝国时代|命令与征服|魔兽争霸,1|0|0|0,0
7,1003,“脸滚键盘”这一词起源于哪一款游戏？,魔兽世界|剑网3|地下城与勇士|永恒之塔,1|0|0|0,0
8,1003,“飞龙骑脸怎么输”是谁的名言？,黄旭东|黄健翔|joker|2009,1|0|0|0,0
9,1003,被玩家称为“血色狗男女”中的“男”是谁？,莫格莱尼|怀特迈恩|阿尔萨斯|吉恩·格雷迈恩,1|0|0|0,0
10,1004,“敌羞吾去脱她衣”这句话出自以下哪一款游戏？,真·三国无双|无双大蛇|三国志|三国：全面战争,1|0|0|0,0
11,1004,游戏“魔兽争霸3”中，高维修费用的人口下限是？,81|71|61|51,1|0|0|0,0
12,1004,游戏“魔兽争霸3”中，低维修费用的人口下限是？,51|61|71|81,1|0|0|0,0
13,1005,“上上下下左右左右BA”出自以下哪款游戏？,魂斗罗|超级马里奥|双截龙|恶魔城,1|0|0|0,0
14,1005,以下哪一个选项是“魔兽争霸3”的无敌作弊码？,whosyourdaddy|greedisgood|thereisnospoon|motherland,1|0|0|0,0
15,1005,“超级马里奥”中马里奥的双胞胎弟弟是？,路易基|瓦路易基|瓦里奥|奇里奥,1|0|0|0,0
16,1006,“塞尔达传说”的主角叫什么？,林克|塞尔达|米特娜|卓玛,1|0|0|0,0
17,1006,“电竞毒奶”指的是谁？,黄旭东|黄健翔|joker|2009,1|0|0|0,0
18,1006,《魔兽争霸3》游戏中，被玩家们称作为“塔魔”的中国选手是？,infi|moon|sky|grubby,1|0|0|0,0
19,1007,众所周知，枪骑兵（lancer）的幸运等级是？,E|B|C|D,1|0|0|0,0
20,1007,游戏《无尽秘境》中，“精灵法师”的性别是？,女|男,1|0,0
21,1007,游戏《无尽秘境》中，一件装备最多强化多少次？,10|5|20|15,1|0|0|0,0
22,1008,游戏《无尽秘境》中，强化装备的结果，可能出现几种情况？,5|4|3|2,1|0|0|0,0
23,1008,游戏《无尽秘境》中，“帝国生命恢复药剂”恢复的血量为？,20000|30000|500|1000,1|0|0|0,0
24,1008,你会将本游戏？,推荐给朋友|不管不顾,1|0,0
25,1009,“大吉大利，晚上吃鸡”这句话最早出现于？,决胜21点|绝地求生|英雄联盟|堡垒之夜,1|0|0|0,0
26,1009,游戏《以撒的结合》中，以撒妈妈的高跟鞋是什么颜色的？,红色|黑色|绿色|棕色,1|0|0|0,0
27,1009,《刀剑神域》中，桐人的黑剑叫什么名字？,阐释者|逐暗者|闪烁之光|时穿剑,1|0|0|0,0
28,1010,《刀剑神域》中，桐人的白剑叫什么名字？,逐暗者|阐释者|闪烁之光|时穿剑,1|0|0|0,0
29,1010,鲁鲁修的geass是左眼还是右眼？,左眼|右眼,1|0,0
30,1010,鲁鲁修的机甲叫什么名字？,高文|兰斯洛特|格拉海德|莫德雷德,1|0|0|0,0
31,1011,真男人从不回头看什么？,爆炸|车祸|雪崩|海浪,1|0|0|0,0
32,1011,圣斗士星矢的大招是什么？,天马流星拳|庐山升龙霸|风翼天翔|钻石星尘,1|0|0|0,0
33,1011,小说《斗破苍穹》中，最高等级是？,斗帝|斗神|斗圣|斗尊,1|0|0|0,0
34,1012,wow中，穆拉丁是什么职业？,战士|圣骑士|法师|山丘之王,1|0|0|0,0
35,1012,薛定谔的_?,猫|狗|猪|鼠,1|0|0|0,0
36,1012,死亡笔记的笔记本是横开的还是竖开的？,横开|竖开,1|0,0
37,1013,星际争霸的人口上限为多少？,200|100|150|188,1|0|0|0,0
38,1013,魔兽争霸的人口上限为多少？,100|80|200|150,1|0|0|0,0
39,1013,“ACGN”中的A代表什么？,Animation|Art|Amazing,1|0|0|0,0
40,1014,“ACGN”中的C代表什么？,Comic|Cute|Clever|City,1|0|0|0,0
41,1014,“ACGN”中的G代表什么？,Game|Green|Golf|Good,1|0|0|0,0
42,1014,“ACGN”中的N代表什么？,Novel|Nature|National,1|0|0|0,0
43,1015,手握炉石开圣盾，老子已经_?,天下无敌|火力全开|毁天灭地|无人能挡,1|0|0|0,0
44,1015,武功再高，也怕_？,羊刀|吹风|黑皇杖|买活,1|0|0|0,0
45,1015,《炉石传说》砰砰博士的费用是几？,7|8|9|10,1|0|0|0,0
46,1016,武藤游戏的神器是什么？,千年积木|千年智慧轮|千年眼|千年钥匙,1|0|0|0,0
47,1016,游戏《战神3》的最终BOSS是？,宙斯|赫拉|波塞冬|哈迪斯,1|0|0|0,0
48,1016,游戏《最终幻想7》男主角是？,克劳德|洛克|提达|斯诺,1|0|0|0,0
49,1017,游戏系列《忍者龙剑传》的男主角的名字是？,隼龙|忍龙|红叶|战龙,1|0|0|0,0
50,1017,《圣斗士星矢》中黄金圣斗士的禁招是？,雅典娜之惊叹|曙光女神之宽恕|天舞宝轮|阿修罗,1|0|0|0,0
51,1017,游戏《街头霸王》中春丽的姓氏是？,张|春|李|赵,1|0|0|0,0
52,1018,游戏最终幻想目前一共有多少部正传作品？,15|12|14|11,1|0|0|0,0
53,1018,游戏《猎天使魔女》的主角是？,贝优妮塔|贞德|瑟蕾莎|巴德尔,1|0|0|0,0
54,1018,游戏《猎天使魔女》恢复血量的道具是？,棒棒糖|血瓶|鲜花|胶囊,1|0|0|0,0
55,1019,《生化奇兵：无限》的故事发生在？,哥伦比亚|巴伦西亚|阿尔巴尼亚|亚特兰大,1|0|0|0,0
56,1019,《黑暗之魂》中太阳骑士的名字是？,索拉尔|亚尔特留斯|希夫|葛温德林,1|0|0|0,0
57,1019,《仁王》的主角名字叫做？,威廉|乌拉席露|杰洛特|神谷英树,1|0|0|0,0
58,1020,《鬼泣4》中尼禄的剑被命名为？,绯红女皇|叛逆之刃|蕾蒂|誓约胜利之剑,1|0|0|0,0
59,1020,《鬼泣》系列游戏中维吉尔和但丁的关系是？,兄弟|父子|好友|主仆,1|0|0|0,0
60,1020,被誉为“马里奥之父”是？,宫本茂|岩田聪|樱井博政|山内傅,1|0|0|0,0
61,1021,《尼尔：机械纪元》的女主为？,2B|A2|9S|O6,1|0|0|0,0
62,1021,伊利丹的武器是？,埃辛诺斯战刃|伊利丹之刃|泰兰德的记忆|阿古斯,1|0|0|0,0
63,1021,人类英雄职业树有多少种职业（包含初始职业）?,21|11|15|20,1|0|0|0,0
64,1022,法师英雄职业树有多少种职业（包含初始职业）?,15|11|21|20,1|0|0|0,0
65,1022,亡灵英雄职业树有多少种职业（包含初始职业）？,15|16|21|20,1|0|0|0,0
66,1022,无尽秘境中初始暴击伤害是多少？,150%|200%|300%|120%,1|0|0|0,0
67,1023,无尽秘境中属性攻击能暴击么？,可以|不可以,1|0,0
68,1023,无尽秘境“幸运值”的作用？,掉落更好物品|掉落更多物品|看起来很COOOOL,1|0|0,0
69,1023,无尽秘境“额外金币”的作用？,杀怪掉落更多金币|开宝箱获得更多金币|直接获得金币,1|0|0,0
70,1024,无尽秘境装备拥有“可带出关卡”属性有什么用？,可以带回城镇|只能在地下城使用|仅在当前关卡使用,1|0|0,0
71,1024,无尽秘境中使用回城卷轴的效果？,安全返回城镇|按死亡处理|按逃跑处理,1|0|0,0
72,1024,无尽秘境地下城结束，拥有“可带出关卡”物品，如何处理？,带回城镇|消失|变成粉末,1|0|0,0
73,1025,在地下城死亡和结束冒险，会随机掉落身上的几件装备？,1件|2件|3件|所有装备,1|0|0|0,0
74,1025,仓库中的物品，在英雄死亡或结束冒险时，会损失么？,不会|会|会损失一部分,1|0|0,0
75,1025,职业和技能会在本次地下城冒险结束时重置么？,会|不会|有时候会,1|0|0,0
76,2001,升阶和符文会在地下城冒险结束时重置么？,不会|会|有时候会,1|0|0,0
77,2001,击杀最后守关BOSS后，如何返回城镇？,进入下一层|找到远古秘宝|穿越,1|0|0,0
78,2001,装备强化是快速提高英雄实力的方式，每件装备最多能强化几次？,10|20|8|15,1|0|0|0,0
79,2002,《刀剑神域》中，桐人的白剑叫什么名字？,逐暗者|阐释者|闪烁之光|时穿剑,1|0|0|0,0
80,2002,鲁鲁修的geass是左眼还是右眼？,左眼|右眼,1|0,0
81,2002,鲁鲁修的机甲叫什么名字？,高文|兰斯洛特|格拉海德|莫德雷德,1|0|0|0,0
82,2003,真男人从不回头看什么？,爆炸|车祸|雪崩|海浪,1|0|0|0,0
83,2003,圣斗士星矢的大招是什么？,天马流星拳|庐山升龙霸|风翼天翔|钻石星尘,1|0|0|0,0
84,2003,小说《斗破苍穹》中，最高等级是？,斗帝|斗神|斗圣|斗尊,1|0|0|0,0
85,2004,wow中，穆拉丁是什么职业？,战士|圣骑士|法师|山丘之王,1|0|0|0,0
86,2004,薛定谔的_?,猫|狗|猪|鼠,1|0|0|0,0
87,2004,死亡笔记的笔记本是横开的还是竖开的？,横开|竖开,1|0,0
88,2005,星际争霸的人口上限为多少？,200|100|150|188,1|0|0|0,0
89,2005,魔兽争霸的人口上限为多少？,100|80|200|150,1|0|0|0,0
90,2005,“ACGN”中的A代表什么？,Animation|Art|Amazing,1|0|0|0,0
91,2006,“ACGN”中的C代表什么？,Comic|Cute|Clever,1|0|0,0
92,2006,“ACGN”中的G代表什么？,Game|Green|Golf,1|0|0,0
93,2006,“ACGN”中的N代表什么？,Novel|Nature|National,1|0|0,0
94,2007,手握炉石开圣盾，老子已经_?,天下无敌|火力全开|毁天灭地|无人能挡,1|0|0|0,0
95,2007,武功再高，也怕_？,羊刀|吹风|黑皇杖|买活,1|0|0|0,0
96,2007,《炉石传说》砰砰博士的费用是几？,7|8|9|10,1|0|0|0,0
97,2008,武藤游戏的神器是什么？,千年积木|千年智慧轮|千年眼|千年钥匙,1|0|0|0,0
98,2008,游戏《战神3》的最终BOSS是？,宙斯|赫拉|波塞冬|哈迪斯,1|0|0|0,0
99,2008,游戏《最终幻想7》男主角是？,克劳德|洛克|提达|斯诺,1|0|0|0,0
100,2009,游戏系列《忍者龙剑传》的男主角的名字是？,隼龙|忍龙|红叶|战龙,1|0|0|0,0
101,2009,《圣斗士星矢》中黄金圣斗士的禁招是？,雅典娜之惊叹|曙光女神之宽恕|天舞宝轮|阿修罗,1|0|0|0,0
102,2009,游戏《街头霸王》中春丽的姓氏是？,张|春|李|赵,1|0|0|0,0
103,2010,雇佣兵“米山”出自以下哪一款游戏？,暗黑破坏神|刺客信条|帝国时代|魔兽世界,1|0|0|0,0
104,2010,“太阁立志传5”中，文武全才指的是谁？,西园寺|织田信长|丰臣秀吉|宁宁,1|0|0|0,0
105,2010,“要致富，先撸树”出自以下哪款游戏？,我的世界|饥荒|魔兽争霸3|岛屿部落,1|0|0|0,0
106,2011,“来局昆特牌吧”这句话出自？,巫师|巫师之昆特牌|刺客信条|上古卷轴,1|0|0|0,0
107,2011,“直到我膝盖中了一箭”这句话出自？,上古卷轴|古墓丽影|生化危机|合金装备,1|0|0|0,0
108,2011,人们常说的“再来一回合”说的是哪个游戏？,文明|帝国时代|命令与征服|魔兽争霸,1|0|0|0,0
109,2012,“脸滚键盘”这一词起源于哪一款游戏？,魔兽世界|剑网3|地下城与勇士|永恒之塔,1|0|0|0,0
110,2012,“飞龙骑脸怎么输”是谁的名言？,黄旭东|黄健翔|joker|2009,1|0|0|0,0
111,2012,被玩家称为“血色狗男女”中的“男”是谁？,莫格莱尼|怀特迈恩|阿尔萨斯|吉恩·格雷迈恩,1|0|0|0,0
112,2013,“敌羞吾去脱她衣”这句话出自以下哪一款游戏？,真·三国无双|无双大蛇|三国志|三国：全面战争,1|0|0|0,0
113,2013,游戏“魔兽争霸3”中，高维修费用的人口下限是？,81|71|61|51,1|0|0|0,0
114,2013,游戏“魔兽争霸3”中，低维修费用的人口下限是？,51|61|71|81,1|0|0|0,0
115,2014,“上上下下左右左右BA”出自以下哪款游戏？,魂斗罗|超级马里奥|双截龙|恶魔城,1|0|0|0,0
116,2014,以下哪一个选项是“魔兽争霸3”的无敌作弊码？,whosyourdaddy|greedisgood|thereisnospoon|motherland,1|0|0|0,0
117,2014,“超级马里奥”中马里奥的双胞胎弟弟是？,路易基|瓦路易基|瓦里奥|奇里奥,1|0|0|0,0
118,2015,“塞尔达传说”的主角叫什么？,林克|塞尔达|米特娜|卓玛,1|0|0|0,0
119,2015,“电竞毒奶”指的是谁？,黄旭东|黄健翔|joker|2009,1|0|0|0,0
120,2015,《魔兽争霸3》游戏中，被玩家们称作为“塔魔”的中国选手是？,infi|moon|sky|grubby,1|0|0|0,0
121,2016,众所周知，枪骑兵（lancer）的幸运等级是？,E|B|C|D,1|0|0|0,0
122,2016,游戏《无尽秘境》中，“精灵法师”的性别是？,女|男,1|0,0
123,2016,游戏《无尽秘境》中，一件装备最多强化多少次？,10|5|20|15,1|0|0|0,0
124,2017,游戏《无尽秘境》中，强化装备的结果，可能出现几种情况？,5|4|3|2,1|0|0|0,0
125,2017,游戏《无尽秘境》中，“帝国生命恢复药剂”恢复的血量为？,20000|30000|500|1000,1|0|0|0,0
126,2017,你会将本游戏？,推荐给朋友|不管不顾,1|0,0
127,2018,“大吉大利，晚上吃鸡”这句话最早出现于？,决胜21点|绝地求生|英雄联盟|堡垒之夜,1|0|0|0,0
128,2018,游戏《以撒的结合》中，以撒妈妈的高跟鞋是什么颜色的？,红色|黑色|绿色|棕色,1|0|0|0,0
129,2018,《刀剑神域》中，桐人的黑剑叫什么名字？,阐释者|逐暗者|闪烁之光|时穿剑,1|0|0|0,0
130,2019,《刀剑神域》中，桐人的白剑叫什么名字？,逐暗者|阐释者|闪烁之光|时穿剑,1|0|0|0,0
131,2019,鲁鲁修的geass是左眼还是右眼？,左眼|右眼,1|0,0
132,2019,鲁鲁修的机甲叫什么名字？,高文|兰斯洛特|格拉海德|莫德雷德,1|0|0|0,0
133,2020,真男人从不回头看什么？,爆炸|车祸|雪崩|海浪,1|0|0|0,0
134,2020,圣斗士星矢的大招是什么？,天马流星拳|庐山升龙霸|风翼天翔|钻石星尘,1|0|0|0,0
135,2020,小说《斗破苍穹》中，最高等级是？,斗帝|斗神|斗圣|斗尊,1|0|0|0,0
136,2021,wow中，穆拉丁是什么职业？,战士|圣骑士|法师|山丘之王,1|0|0|0,0
137,2021,薛定谔的_?,猫|狗|猪|鼠,1|0|0|0,0
138,2021,死亡笔记的笔记本是横开的还是竖开的？,横开|竖开,1|0,0
139,2022,星际争霸的人口上限为多少？,200|100|150|188,1|0|0|0,0
140,2022,魔兽争霸的人口上限为多少？,100|80|200|150,1|0|0|0,0
141,2022,“ACGN”中的A代表什么？,Animation|Art|Amazing,1|0|0|0,0
142,2023,“ACGN”中的C代表什么？,Comic|Cute|Clever,1|0|0,0
143,2023,“ACGN”中的G代表什么？,Game|Green|Golf,1|0|0,0
144,2023,“ACGN”中的N代表什么？,Novel|Nature|National,1|0|0,0
145,2024,手握炉石开圣盾，老子已经_?,天下无敌|火力全开|毁天灭地|无人能挡,1|0|0|0,0
146,2024,武功再高，也怕_？,羊刀|吹风|黑皇杖|买活,1|0|0|0,0
147,2024,《炉石传说》砰砰博士的费用是几？,7|8|9|10,1|0|0|0,0
148,2025,武藤游戏的神器是什么？,千年积木|千年智慧轮|千年眼|千年钥匙,1|0|0|0,0
149,2025,游戏《战神3》的最终BOSS是？,宙斯|赫拉|波塞冬|哈迪斯,1|0|0|0,0
150,2025,游戏《最终幻想7》男主角是？,克劳德|洛克|提达|斯诺,1|0|0|0,0
151,3001,游戏系列《忍者龙剑传》的男主角的名字是？,隼龙|忍龙|红叶|战龙,1|0|0|0,0
152,3001,《圣斗士星矢》中黄金圣斗士的禁招是？,雅典娜之惊叹|曙光女神之宽恕|天舞宝轮|阿修罗,1|0|0|0,0
153,3001,游戏《街头霸王》中春丽的姓氏是？,张|春|李|赵,1|0|0|0,0
154,3002,雇佣兵“米山”出自以下哪一款游戏？,暗黑破坏神|刺客信条|帝国时代|魔兽世界,1|0|0|0,0
155,3002,“太阁立志传5”中，文武全才指的是谁？,西园寺|织田信长|丰臣秀吉|宁宁,1|0|0|0,0
156,3002,“要致富，先撸树”出自以下哪款游戏？,我的世界|饥荒|魔兽争霸3|岛屿部落,1|0|0|0,0
157,3003,“来局昆特牌吧”这句话出自？,巫师|巫师之昆特牌|刺客信条|上古卷轴,1|0|0|0,0
158,3003,“直到我膝盖中了一箭”这句话出自？,上古卷轴|古墓丽影|生化危机|合金装备,1|0|0|0,0
159,3003,人们常说的“再来一回合”说的是哪个游戏？,文明|帝国时代|命令与征服|魔兽争霸,1|0|0|0,0
160,3004,“脸滚键盘”这一词起源于哪一款游戏？,魔兽世界|剑网3|地下城与勇士|永恒之塔,1|0|0|0,0
161,3004,“飞龙骑脸怎么输”是谁的名言？,黄旭东|黄健翔|joker|2009,1|0|0|0,0
162,3004,被玩家称为“血色狗男女”中的“男”是谁？,莫格莱尼|怀特迈恩|阿尔萨斯|吉恩·格雷迈恩,1|0|0|0,0
163,3005,“敌羞吾去脱她衣”这句话出自以下哪一款游戏？,真·三国无双|无双大蛇|三国志|三国：全面战争,1|0|0|0,0
164,3005,游戏“魔兽争霸3”中，高维修费用的人口下限是？,81|71|61|51,1|0|0|0,0
165,3005,游戏“魔兽争霸3”中，低维修费用的人口下限是？,51|61|71|81,1|0|0|0,0
166,3006,“上上下下左右左右BA”出自以下哪款游戏？,魂斗罗|超级马里奥|双截龙|恶魔城,1|0|0|0,0
167,3006,以下哪一个选项是“魔兽争霸3”的无敌作弊码？,whosyourdaddy|greedisgood|thereisnospoon|motherland,1|0|0|0,0
168,3006,“超级马里奥”中马里奥的双胞胎弟弟是？,路易基|瓦路易基|瓦里奥|奇里奥,1|0|0|0,0
169,3007,“塞尔达传说”的主角叫什么？,林克|塞尔达|米特娜|卓玛,1|0|0|0,0
170,3007,“电竞毒奶”指的是谁？,黄旭东|黄健翔|joker|2009,1|0|0|0,0
171,3007,《魔兽争霸3》游戏中，被玩家们称作为“塔魔”的中国选手是？,infi|moon|sky|grubby,1|0|0|0,0
172,3008,众所周知，枪骑兵（lancer）的幸运等级是？,E|B|C|D,1|0|0|0,0
173,3008,游戏《无尽秘境》中，“精灵法师”的性别是？,女|男,1|0,0
174,3008,游戏《无尽秘境》中，一件装备最多强化多少次？,10|5|20|15,1|0|0|0,0
175,3009,游戏《无尽秘境》中，强化装备的结果，可能出现几种情况？,5|4|3|2,1|0|0|0,0
176,3009,游戏《无尽秘境》中，“帝国生命恢复药剂”恢复的血量为？,20000|30000|500|1000,1|0|0|0,0
177,3009,你会将本游戏？,推荐给朋友|不管不顾,1|0,0
178,3010,“大吉大利，晚上吃鸡”这句话最早出现于？,决胜21点|绝地求生|英雄联盟|堡垒之夜,1|0|0|0,0
179,3010,游戏《以撒的结合》中，以撒妈妈的高跟鞋是什么颜色的？,红色|黑色|绿色|棕色,1|0|0|0,0
180,3010,《刀剑神域》中，桐人的黑剑叫什么名字？,阐释者|逐暗者|闪烁之光|时穿剑,1|0|0|0,0
181,3011,《刀剑神域》中，桐人的白剑叫什么名字？,逐暗者|阐释者|闪烁之光|时穿剑,1|0|0|0,0
182,3011,鲁鲁修的geass是左眼还是右眼？,左眼|右眼,1|0,0
183,3011,鲁鲁修的机甲叫什么名字？,高文|兰斯洛特|格拉海德|莫德雷德,1|0|0|0,0
184,3012,真男人从不回头看什么？,爆炸|车祸|雪崩|海浪,1|0|0|0,0
185,3012,圣斗士星矢的大招是什么？,天马流星拳|庐山升龙霸|风翼天翔|钻石星尘,1|0|0|0,0
186,3012,小说《斗破苍穹》中，最高等级是？,斗帝|斗神|斗圣|斗尊,1|0|0|0,0
187,3013,wow中，穆拉丁是什么职业？,战士|圣骑士|法师|山丘之王,1|0|0|0,0
188,3013,薛定谔的_?,猫|狗|猪|鼠,1|0|0|0,0
189,3013,死亡笔记的笔记本是横开的还是竖开的？,横开|竖开,1|0,0
190,3014,星际争霸的人口上限为多少？,200|100|150|188,1|0|0|0,0
191,3014,魔兽争霸的人口上限为多少？,100|80|200|150,1|0|0|0,0
192,3014,“ACGN”中的A代表什么？,Animation|Art|Amazing,1|0|0|0,0
193,3015,“ACGN”中的C代表什么？,Comic|Cute|Clever,1|0|0,0
194,3015,“ACGN”中的G代表什么？,Game|Green|Golf,1|0|0,0
195,3015,“ACGN”中的N代表什么？,Novel|Nature|National,1|0|0,0
196,3016,手握炉石开圣盾，老子已经_?,天下无敌|火力全开|毁天灭地|无人能挡,1|0|0|0,0
197,3016,武功再高，也怕_？,羊刀|吹风|黑皇杖|买活,1|0|0|0,0
198,3016,《炉石传说》砰砰博士的费用是几？,7|8|9|10,1|0|0|0,0
199,3017,武藤游戏的神器是什么？,千年积木|千年智慧轮|千年眼|千年钥匙,1|0|0|0,0
200,3017,游戏《战神3》的最终BOSS是？,宙斯|赫拉|波塞冬|哈迪斯,1|0|0|0,0
201,3017,游戏《最终幻想7》男主角是？,克劳德|洛克|提达|斯诺,1|0|0|0,0
202,3018,游戏系列《忍者龙剑传》的男主角的名字是？,隼龙|忍龙|红叶|战龙,1|0|0|0,0
203,3018,《圣斗士星矢》中黄金圣斗士的禁招是？,雅典娜之惊叹|曙光女神之宽恕|天舞宝轮|阿修罗,1|0|0|0,0
204,3018,游戏《街头霸王》中春丽的姓氏是？,张|春|李|赵,1|0|0|0,0
205,3019,雇佣兵“米山”出自以下哪一款游戏？,暗黑破坏神|刺客信条|帝国时代|魔兽世界,1|0|0|0,0
206,3019,“太阁立志传5”中，文武全才指的是谁？,西园寺|织田信长|丰臣秀吉|宁宁,1|0|0|0,0
207,3019,“要致富，先撸树”出自以下哪款游戏？,我的世界|饥荒|魔兽争霸3|岛屿部落,1|0|0|0,0
208,3020,“来局昆特牌吧”这句话出自？,巫师|巫师之昆特牌|刺客信条|上古卷轴,1|0|0|0,0
209,3020,“直到我膝盖中了一箭”这句话出自？,上古卷轴|古墓丽影|生化危机|合金装备,1|0|0|0,0
210,3020,人们常说的“再来一回合”说的是哪个游戏？,文明|帝国时代|命令与征服|魔兽争霸,1|0|0|0,0
211,3021,“脸滚键盘”这一词起源于哪一款游戏？,魔兽世界|剑网3|地下城与勇士|永恒之塔,1|0|0|0,0
212,3021,“飞龙骑脸怎么输”是谁的名言？,黄旭东|黄健翔|joker|2009,1|0|0|0,0
213,3021,被玩家称为“血色狗男女”中的“男”是谁？,莫格莱尼|怀特迈恩|阿尔萨斯|吉恩·格雷迈恩,1|0|0|0,0
214,3022,“敌羞吾去脱她衣”这句话出自以下哪一款游戏？,真·三国无双|无双大蛇|三国志|三国：全面战争,1|0|0|0,0
215,3022,游戏“魔兽争霸3”中，高维修费用的人口下限是？,81|71|61|51,1|0|0|0,0
216,3022,游戏“魔兽争霸3”中，低维修费用的人口下限是？,51|61|71|81,1|0|0|0,0
217,3023,“上上下下左右左右BA”出自以下哪款游戏？,魂斗罗|超级马里奥|双截龙|恶魔城,1|0|0|0,0
218,3023,以下哪一个选项是“魔兽争霸3”的无敌作弊码？,whosyourdaddy|greedisgood|thereisnospoon|motherland,1|0|0|0,0
219,3023,“超级马里奥”中马里奥的双胞胎弟弟是？,路易基|瓦路易基|瓦里奥|奇里奥,1|0|0|0,0
220,3024,“塞尔达传说”的主角叫什么？,林克|塞尔达|米特娜|卓玛,1|0|0|0,0
